GameId,HomeTeam,AwayTeam,HomeOrAway,All Attempts,Goals,On Target,Off Target,Blocked,Inside Penalty Area,Outside Penalty Area,Woodwork,Free Kick 1,From Set Play,Penalty,Own Goals,Headed,Right Footed,Left Footed,Other Body Parts,Big Chance,Completed % 1,Possession 1,Territory 1,Assist 1,Assist (Open Play) 1,Assist (Set Play) 1,Chances Created 1,Chances Created (Open Play) 1,Chances Created (Set Play) 1,Backpasses 1,Offside Passes,Ball Recoveries,Interceptions,Blocks,Blocked Crosses,Errors leading to shot,Errors leading to goal,Committed,Suffered,Yellow Cards,Second Yellow Cards,Red Cards,All 1 Num,All 1 Den,Attacking Third 1 Num,Attacking Third 1 Den,Defensive Third 1 Num,Defensive Third 1 Den,Middle Third 1 Num,Middle Third 1 Den,Free Kick 2 Num,Free Kick 2 Den,Long 1 Num,Long 1 Den,Short 1 Num,Short 1 Den,Forward 1 Num,Forward 1 Den,Backward 1 Num,Backward 1 Den,Square Num,Square Den,Goalkeeper Distribution Num,Goalkeeper Distribution Den,Throw-ins Num,Throw-ins Den,All (Dashboard) Num,All (Dashboard) Den,Crosses Num,Crosses Den,Take-ons Num,Take-ons Den,Corners Num,Corners Den,Tackles Num,Tackles Den,Clearances Num,Clearances Den,Headed Clearances Num,Headed Clearances Den,Aerial Duels Num,Aerial Duels Den,Season,Result,B365H,B365D,B365A
1,101,109,0,14,1,5,5,4,8,6,1,2,3,0,0,4,6,4,0,1,86,60,56,0,0,0,11,9,2,14,1,58,17,1,1,0,0,14,20,2,0,0,482,558,104,149,91,94,287,315,11,19,36,56,446,502,229,289,156,159,97,110,3,4,27,29,516,619,4,28,13,23,2,4,13,17,12,12,10,10,10,12,1014,-1,1.36,5.0,11.0
1,101,109,1,5,2,4,0,1,1,4,0,0,0,0,0,0,2,3,0,0,80,39,43,2,2,0,5,5,0,9,1,41,17,3,4,0,0,20,11,4,0,0,307,383,37,55,105,108,165,220,12,15,17,45,290,338,139,201,113,120,55,62,12,15,19,23,335,423,2,9,4,12,0,0,19,32,35,35,17,17,8,17,1014,1,1.36,5.0,11.0
2,123,106,0,11,2,3,5,3,7,4,0,1,2,0,0,2,5,4,0,3,77,36,50,0,0,0,6,6,0,15,0,56,18,4,3,1,0,16,10,1,0,0,265,344,53,102,47,49,165,193,4,9,19,49,246,295,121,186,92,96,52,62,4,7,10,12,283,374,6,16,6,10,2,3,13,22,37,37,23,23,12,16,1014,0,3.2,3.4,2.4
2,123,106,1,13,2,3,5,5,8,5,0,0,3,0,0,1,6,6,0,0,84,63,49,0,0,0,5,5,0,20,0,43,5,3,2,1,1,10,13,1,0,0,509,605,128,176,122,128,259,301,14,16,27,50,482,555,244,315,163,171,102,119,10,10,11,17,532,648,3,17,9,18,0,6,19,25,28,28,15,15,10,24,1014,0,3.2,3.4,2.4
3,120,124,0,19,0,6,7,7,12,7,0,1,7,1,0,4,8,7,0,2,77,51,54,0,0,0,14,12,2,8,0,60,13,3,2,0,0,10,9,1,0,0,296,383,79,127,55,57,162,199,7,10,34,61,262,322,162,241,87,88,47,54,7,8,16,22,327,446,8,34,8,17,2,8,14,18,40,40,27,27,16,19,1014,-1,2.5,3.3,3.1
3,120,124,1,11,1,4,3,4,8,3,0,1,3,0,0,3,3,5,0,1,76,48,45,1,0,1,8,6,2,9,2,56,13,7,5,0,0,10,10,2,0,0,289,382,59,105,84,90,146,187,5,9,21,60,268,322,112,191,85,88,92,103,6,13,21,26,319,435,5,20,4,10,3,9,17,25,56,56,34,34,10,23,1014,1,2.5,3.3,3.1
4,113,115,0,12,0,2,4,6,5,7,0,0,4,0,0,1,9,2,0,0,84,64,46,0,0,0,10,8,2,17,1,49,17,2,4,1,0,14,9,0,0,0,432,517,89,135,108,112,235,270,9,10,27,55,405,462,197,265,136,141,99,111,6,6,33,36,473,578,2,18,9,18,2,2,27,31,43,43,26,26,20,23,1014,-1,1.95,3.5,4.5
4,113,115,1,7,1,1,4,2,6,1,0,0,3,0,0,1,2,4,0,1,68,35,53,0,0,0,5,4,1,10,1,43,14,6,6,0,0,9,14,3,0,0,197,289,47,87,34,36,116,166,10,15,16,54,181,235,102,179,64,69,31,41,5,9,26,35,230,353,2,24,4,14,3,8,19,28,26,26,13,13,6,16,1014,1,1.95,3.5,4.5
5,108,117,0,10,2,5,5,0,4,6,0,0,0,1,0,0,6,4,0,2,79,58,62,1,1,0,8,8,0,11,0,46,11,3,2,0,0,18,9,3,0,0,349,439,113,166,46,48,190,225,6,11,18,39,331,400,167,242,130,137,52,60,3,3,23,24,379,496,4,30,5,11,1,6,18,26,15,15,9,9,8,11,1014,0,2.25,3.4,3.5
5,108,117,1,7,2,2,2,3,4,3,0,1,3,0,0,1,5,1,0,2,75,41,38,1,1,0,4,2,2,11,3,52,22,0,4,0,0,9,17,1,0,0,242,323,43,69,55,63,144,191,7,17,18,40,224,283,112,178,91,95,39,50,3,6,12,19,261,364,5,17,8,17,2,3,29,34,42,42,19,19,11,19,1014,0,2.25,3.4,3.5
6,110,105,0,18,0,4,10,4,12,6,0,0,5,1,0,4,8,6,0,2,83,48,48,0,0,0,11,10,1,15,1,54,19,4,3,0,0,12,8,2,1,0,344,414,80,115,77,82,187,217,5,9,29,56,315,358,172,227,131,137,41,50,7,8,13,15,375,465,11,28,5,19,6,8,17,26,35,35,19,19,9,13,1014,-1,3.8,3.6,2.05
6,110,105,1,10,1,4,2,4,2,8,0,2,1,0,0,0,7,3,0,1,80,52,51,1,1,0,8,8,0,18,0,41,11,3,5,0,0,10,12,0,0,1,386,482,72,115,90,95,224,272,8,11,12,41,374,441,176,259,135,137,75,86,4,4,13,16,403,515,0,13,9,16,3,5,19,24,27,27,21,21,7,13,1014,1,3.8,3.6,2.05
7,104,121,0,14,2,6,5,3,6,8,0,0,5,0,0,3,8,3,0,3,88,77,58,1,0,1,10,7,3,10,0,66,16,2,2,1,0,13,18,2,0,0,640,730,175,232,81,83,384,415,16,20,9,22,631,708,327,390,186,192,127,148,4,4,21,21,669,788,4,33,12,37,3,9,26,33,30,30,22,22,15,24,1014,1,1.25,6.5,15.0
7,104,121,1,4,1,2,0,2,1,3,0,0,1,0,0,1,1,2,0,0,57,22,41,1,0,1,3,2,1,3,1,53,19,2,3,0,0,19,13,3,1,0,127,222,25,56,20,28,82,138,9,13,11,43,116,179,65,146,36,40,26,36,1,10,11,18,140,250,2,9,7,25,1,3,33,45,40,40,17,17,6,13,1014,-1,1.25,6.5,15.0
8,107,114,0,12,2,5,5,2,4,8,0,0,2,0,0,0,6,6,0,2,86,56,47,2,2,0,9,9,0,17,2,60,17,2,5,1,0,8,11,1,0,0,514,601,96,137,115,120,303,344,8,13,32,58,482,543,232,304,162,166,119,130,11,13,18,22,544,651,2,16,15,29,1,2,16,26,50,50,25,25,19,32,1014,1,1.33,5.75,10.0
8,107,114,1,12,1,6,4,2,8,4,1,0,1,0,0,1,10,1,0,3,77,44,52,1,1,0,8,8,0,13,2,58,19,2,2,0,0,11,8,2,0,0,345,450,80,124,64,69,201,257,4,9,25,55,320,395,171,262,119,126,54,61,5,6,22,27,374,520,3,37,10,16,0,6,35,50,14,14,7,7,1,4,1014,-1,1.33,5.75,10.0
9,116,102,0,12,0,0,9,3,9,3,0,1,3,0,0,2,6,4,0,1,83,44,45,0,0,0,8,5,3,21,0,58,14,3,2,1,0,8,11,1,0,0,382,460,78,113,78,82,226,265,6,10,22,42,360,418,194,253,121,125,67,82,4,6,22,22,410,506,3,21,14,25,2,3,23,29,21,21,10,10,8,15,1014,-1,5.25,4.33,1.67
9,116,102,1,13,2,5,5,3,9,4,0,1,0,0,0,1,7,5,0,3,86,55,54,1,1,0,11,11,0,7,0,60,15,3,2,0,0,11,7,5,0,0,511,593,106,150,56,60,349,383,6,7,22,40,489,553,256,318,130,135,125,140,3,5,13,14,528,621,1,10,6,14,0,3,29,43,32,32,16,16,9,15,1014,1,5.25,4.33,1.67
