GameId,HomeTeam,AwayTeam,HomeOrAway,All Attempts,Goals,On Target,Off Target,Blocked,Inside Penalty Area,Outside Penalty Area,Woodwork,Free Kick 1,From Set Play,Penalty,Own Goals,Headed,Right Footed,Left Footed,Other Body Parts,Big Chance,Completed % 1,Possession 1,Territory 1,Assist 1,Assist (Open Play) 1,Assist (Set Play) 1,Chances Created 1,Chances Created (Open Play) 1,Chances Created (Set Play) 1,Backpasses 1,Offside Passes,Ball Recoveries,Interceptions,Blocks,Blocked Crosses,Errors leading to shot,Errors leading to goal,Committed,Suffered,Yellow Cards,Second Yellow Cards,Red Cards,All 1 Num,All 1 Den,Attacking Third 1 Num,Attacking Third 1 Den,Defensive Third 1 Num,Defensive Third 1 Den,Middle Third 1 Num,Middle Third 1 Den,Free Kick 2 Num,Free Kick 2 Den,Long 1 Num,Long 1 Den,Short 1 Num,Short 1 Den,Forward 1 Num,Forward 1 Den,Backward 1 Num,Backward 1 Den,Square Num,Square Den,Goalkeeper Distribution Num,Goalkeeper Distribution Den,Throw-ins Num,Throw-ins Den,All (Dashboard) Num,All (Dashboard) Den,Crosses Num,Crosses Den,Take-ons Num,Take-ons Den,Corners Num,Corners Den,Tackles Num,Tackles Den,Clearances Num,Clearances Den,Headed Clearances Num,Headed Clearances Den,Aerial Duels Num,Aerial Duels Den,Season,Result,B365H,B365D,B365A
6,103,109,0,11,1,3,5,3,6,5,0,1,1,0,0,1,9,1,0,0,80,52,57,0,0,0,8,7,1,2,2,57,13,5,3,1,0,15,15,1,0,1,347,433,121,174,62,64,164,195,12,19,16,39,331,394,171,236,84,91,92,106,5,8,20,24,373,485,3,23,14,29,0,4,16,29,10,14,8,10,7,15,1015,0,1.36,5.0,11.0
6,103,109,1,17,2,10,2,6,12,5,0,1,4,1,1,3,6,8,0,5,81,47,42,0,0,0,12,9,3,14,4,51,12,2,4,0,0,16,15,3,0,0,322,399,75,113,80,87,167,199,12,15,18,43,304,356,168,237,106,112,48,50,5,8,19,22,350,449,6,21,13,21,4,8,22,36,23,29,13,14,12,19,1015,0,1.36,5.0,11.0
7,104,110,0,22,0,6,8,8,15,7,0,1,3,0,0,3,13,6,0,1,87,62,61,0,0,0,16,14,2,13,3,66,18,2,2,0,2,12,9,1,0,0,481,556,180,214,64,66,237,276,5,9,16,29,465,527,233,288,127,131,121,137,6,8,17,18,513,616,9,34,22,29,4,5,12,24,12,18,10,15,24,36,1015,-1,1.29,6.0,12.0
7,104,110,1,8,2,4,2,2,4,4,0,0,2,0,0,1,5,2,0,1,71,37,38,1,0,1,7,4,3,11,1,49,12,8,4,0,0,9,12,3,0,0,257,360,46,96,71,80,140,184,9,15,27,66,230,294,122,202,84,87,51,71,4,10,13,21,272,390,0,6,12,20,3,4,21,43,20,26,12,14,7,15,1015,1,1.29,6.0,12.0
8,116,114,0,9,2,4,3,3,6,3,0,0,5,0,0,1,4,3,1,1,82,55,51,1,1,0,7,5,2,17,0,52,15,3,1,0,0,9,12,2,0,0,396,485,93,135,71,75,232,275,11,15,33,54,363,431,198,265,126,133,72,87,5,6,26,34,436,559,9,35,10,23,4,6,13,20,20,24,10,11,9,22,1015,0,2.88,3.3,2.7
8,116,114,1,14,2,4,7,3,10,4,0,0,2,0,0,5,4,5,0,1,79,44,48,2,2,0,12,10,2,10,3,58,34,3,8,1,0,12,9,4,0,0,309,389,72,115,64,68,173,206,7,9,25,46,284,343,156,221,101,102,52,66,2,3,16,19,332,430,6,18,7,12,2,6,18,28,23,32,11,13,7,12,1015,0,2.88,3.3,2.7
9,113,107,0,7,0,1,4,2,4,3,0,0,0,0,0,0,0,7,0,0,73,46,47,0,0,0,4,4,0,8,3,50,13,4,0,0,0,9,16,2,0,0,301,412,51,97,52,57,198,258,9,18,25,64,276,348,134,227,90,94,77,91,10,14,21,25,334,466,5,20,5,17,3,3,25,35,12,16,6,7,7,15,1015,-1,3.4,3.4,2.3
9,113,107,1,8,1,3,1,4,4,4,0,0,2,0,0,1,6,1,0,0,79,53,52,1,1,0,5,4,1,13,2,54,13,2,3,0,0,16,9,4,0,0,378,478,82,132,61,63,235,283,8,12,17,43,361,435,178,260,127,133,73,85,5,9,19,22,406,518,5,12,10,22,3,5,19,24,23,33,9,14,12,21,1015,1,3.4,3.4,2.3
10,108,102,0,9,0,2,6,1,4,5,0,2,1,0,0,2,5,2,0,0,81,31,39,0,0,0,6,5,1,12,2,50,16,10,3,0,0,12,9,4,0,0,267,328,71,98,61,64,135,166,4,7,20,38,247,290,133,181,86,88,48,59,5,6,13,16,286,370,4,23,7,9,1,6,17,24,15,21,8,9,1,6,1015,-1,5.75,4.0,1.67
10,108,102,1,20,3,7,2,11,11,9,0,2,1,0,0,1,10,9,0,2,91,68,61,2,1,1,14,13,1,8,0,44,14,1,1,0,0,9,12,1,0,0,693,764,214,250,66,71,413,443,9,12,27,46,666,718,265,318,215,217,213,229,4,7,12,12,713,799,4,18,7,11,3,6,10,17,14,21,4,7,6,11,1015,1,5.75,4.0,1.67
11,115,101,0,5,0,1,3,1,4,1,0,0,2,0,0,3,2,0,0,0,81,45,46,0,0,0,4,2,2,19,4,59,19,3,1,0,0,14,10,2,0,0,356,441,52,97,103,109,201,235,7,13,25,48,331,393,158,225,100,104,98,112,7,9,20,24,384,489,3,15,12,33,3,3,22,27,7,13,4,7,3,3,1015,-1,5.5,3.8,1.73
11,115,101,1,9,1,2,4,3,5,4,0,1,2,0,0,2,7,0,0,1,86,54,53,1,1,0,8,7,1,20,3,56,21,1,1,1,0,10,14,2,0,0,458,534,105,143,97,99,256,292,15,17,26,51,432,483,200,263,163,165,95,106,9,11,13,18,479,570,1,8,5,13,2,5,24,36,31,37,18,19,12,20,1015,1,5.5,3.8,1.73
12,114,106,0,17,0,4,9,4,14,3,0,0,4,0,0,4,7,6,0,0,85,55,56,0,0,0,13,10,3,7,1,57,13,4,3,0,0,11,9,4,0,0,391,459,115,160,53,55,223,244,8,12,27,41,364,418,213,266,108,110,70,83,5,5,19,23,422,527,7,39,5,13,4,9,18,24,15,19,9,9,5,11,1015,-1,1.95,3.6,4.33
12,114,106,1,10,3,4,2,4,7,3,0,1,2,0,0,2,6,2,0,3,80,44,43,3,3,0,7,6,1,6,2,52,16,4,7,1,0,10,11,2,0,0,314,393,93,130,56,62,165,201,6,11,22,56,292,337,163,230,100,104,51,59,8,11,10,14,336,436,4,19,6,15,3,9,14,19,28,32,22,23,11,20,1015,1,1.95,3.6,4.33
13,117,111,0,6,1,2,3,1,3,3,0,0,2,0,0,2,3,1,0,0,69,43,39,0,0,0,4,3,1,16,2,49,17,8,4,1,0,7,6,1,0,0,267,386,35,84,67,72,165,230,2,8,15,50,252,336,130,230,82,86,55,70,5,9,15,20,289,425,3,14,6,10,2,6,31,46,15,20,6,7,4,9,1015,-1,2.5,3.3,3.1
13,117,111,1,18,3,6,4,8,9,9,0,2,2,0,0,1,11,6,0,1,79,56,61,2,2,0,11,10,1,5,1,53,11,1,3,0,0,7,7,2,0,0,388,490,144,199,47,55,197,236,5,7,23,47,365,443,175,260,132,136,81,94,7,8,26,33,426,549,6,19,15,28,4,6,15,21,33,34,28,29,13,18,1015,1,2.5,3.3,3.1
14,109,116,0,19,2,6,6,7,7,12,2,0,4,0,0,3,10,6,0,2,92,66,59,2,2,0,18,16,2,14,3,47,16,0,0,0,0,11,8,2,0,0,506,635,125,158,72,72,389,405,6,9,20,32,566,603,286,322,196,199,104,114,8,9,26,26,621,690,3,19,7,26,1,4,19,26,11,18,6,9,5,8,1015,1,1.95,3.6,4.33
14,109,116,1,4,0,2,2,0,1,3,0,1,0,0,0,0,4,0,0,0,78,33,41,0,0,0,2,2,0,18,1,45,13,7,2,0,0,8,11,2,1,0,261,333,31,60,109,112,121,161,7,13,18,44,243,289,124,182,92,94,45,57,3,4,16,19,280,364,2,10,7,16,1,4,19,26,13,18,6,8,3,6,1015,-1,1.95,3.6,4.33
15,105,113,0,13,2,7,2,4,7,6,0,1,1,0,0,1,8,4,0,3,81,52,45,2,1,1,8,7,1,22,3,42,16,2,0,1,0,15,11,2,0,0,407,500,58,103,101,103,248,294,9,13,17,56,390,444,186,267,143,144,77,88,5,8,29,35,443,556,3,14,9,21,1,4,16,25,11,17,6,10,13,21,1015,0,1.8,3.75,5.0
15,105,113,1,15,2,7,6,2,11,4,0,1,1,1,0,7,7,1,0,5,82,47,55,1,1,0,11,10,1,13,3,51,16,4,1,0,0,11,15,2,0,0,351,430,88,132,70,74,193,224,10,16,16,36,335,394,163,225,109,115,79,90,5,9,21,21,383,479,8,22,9,15,2,3,19,28,12,15,9,10,5,9,1015,0,1.8,3.75,5.0
16,126,108,0,16,0,5,8,3,7,9,0,1,0,0,0,3,9,4,0,0,84,64,53,0,0,0,14,14,0,10,0,49,21,1,3,0,0,13,10,1,0,0,418,498,133,182,55,59,230,257,7,9,37,69,381,429,184,251,151,155,83,92,7,7,26,32,459,569,9,33,9,20,1,2,15,19,19,21,5,5,11,25,1015,0,2.3,3.4,3.4
16,126,108,1,6,0,0,5,1,4,2,0,1,3,0,0,3,1,2,0,1,68,35,46,0,0,0,4,3,1,4,0,38,20,2,6,0,0,10,11,2,0,0,193,285,52,94,33,37,108,154,9,12,28,56,165,229,103,179,53,56,37,50,4,7,9,13,208,316,4,16,4,10,2,4,24,33,31,39,16,17,12,19,1015,0,2.3,3.4,3.4
17,110,123,0,10,1,3,3,4,7,3,0,0,2,0,0,2,5,3,0,0,85,70,50,1,1,0,8,7,1,67,1,50,4,2,1,0,0,11,12,1,0,1,468,553,109,157,82,89,277,307,9,13,34,60,434,493,244,317,135,137,89,99,6,6,33,35,512,636,5,41,9,24,1,8,15,21,17,22,13,17,23,31,1015,-1,2.25,3.5,3.4
17,110,123,1,10,2,5,3,2,7,3,0,1,2,0,0,1,5,4,0,3,65,29,49,1,1,0,7,6,1,7,1,48,16,3,9,0,0,12,11,3,0,0,157,242,58,108,24,27,75,107,4,11,22,62,135,180,88,164,41,45,28,33,1,8,10,15,175,275,7,16,6,14,4,4,25,34,27,36,13,19,12,14,1015,1,2.25,3.5,3.4
18,121,104,0,11,1,4,4,3,6,5,1,0,4,0,1,2,5,4,0,1,80,40,44,1,1,0,7,5,2,11,3,63,19,8,5,2,0,14,12,1,0,0,302,376,83,124,70,80,149,172,9,13,25,51,277,325,163,220,96,99,43,57,7,8,13,15,323,425,6,29,9,23,2,6,18,25,23,35,13,15,7,14,1015,-1,5.25,3.9,1.73
18,121,104,1,20,1,7,6,8,16,4,0,0,1,0,0,3,10,7,0,2,85,59,55,1,1,0,16,15,1,12,2,65,12,3,2,0,0,12,14,1,0,0,478,564,173,224,60,66,245,274,10,17,24,47,454,517,231,290,124,137,123,137,5,7,20,20,507,613,5,23,7,14,3,6,27,36,31,36,17,19,11,19,1015,1,5.25,3.9,1.73
19,102,103,0,18,3,8,6,4,11,7,0,0,2,0,0,2,12,4,0,3,82,49,45,3,2,1,17,15,2,5,1,47,5,3,3,0,0,19,13,4,0,0,345,423,126,157,39,41,180,225,14,16,19,41,326,382,166,219,101,105,78,99,1,6,16,19,371,469,9,25,14,22,1,5,17,29,18,23,13,13,10,20,1015,1,2.1,3.5,3.75
19,102,103,1,10,0,3,4,3,5,5,1,0,2,0,0,1,7,2,0,0,83,57,54,0,0,0,7,6,1,4,3,39,15,4,4,1,1,13,19,2,0,0,367,443,147,192,35,39,185,212,11,19,21,35,346,408,181,235,107,115,79,93,5,6,16,19,389,485,2,16,12,26,0,1,20,34,19,25,8,9,7,12,1015,-1,2.1,3.5,3.75
20,107,125,0,18,1,2,11,5,8,10,1,1,4,0,0,0,13,5,0,3,82,55,50,1,1,0,11,9,2,10,1,53,16,5,3,0,0,11,17,1,0,0,403,492,101,149,82,88,220,257,16,17,24,41,379,451,189,254,128,136,86,102,3,5,14,19,422,526,3,12,12,24,1,6,24,36,28,36,10,12,6,13,1015,1,1.45,4.75,8.0
20,107,125,1,13,0,2,6,5,8,5,1,0,3,0,0,3,4,5,1,0,76,44,49,0,0,0,13,10,3,5,0,51,14,5,2,1,0,18,11,4,0,0,293,387,90,128,57,74,146,185,9,12,22,43,271,344,146,217,69,73,78,97,4,4,25,31,325,447,3,25,12,23,4,8,22,34,20,23,12,12,10,23,1015,-1,1.45,4.75,8.0
21,101,116,0,20,0,8,3,9,9,11,1,2,1,0,0,1,10,9,0,1,89,69,63,0,0,0,15,14,1,6,4,56,15,3,3,0,0,15,11,2,0,0,567,637,203,249,62,64,302,324,10,11,17,28,550,609,268,320,170,174,129,143,4,6,19,20,598,703,8,39,14,24,4,11,17,27,19,22,12,14,7,13,1015,0,1.36,5.25,10.0
21,101,116,1,7,0,0,4,3,5,2,1,0,3,0,0,4,3,0,0,0,72,30,36,0,0,0,6,5,1,12,2,54,20,9,10,2,0,11,15,2,0,0,201,280,46,81,48,58,107,141,10,19,24,54,177,226,105,171,60,64,35,44,5,7,10,13,220,316,6,18,10,19,1,5,20,34,32,35,19,21,7,12,1015,0,1.36,5.25,10.0
22,121,115,0,16,2,6,7,3,10,6,0,1,3,0,1,2,5,9,0,1,79,50,53,2,1,1,14,12,2,9,4,68,11,3,0,1,0,12,14,3,0,0,283,357,97,136,46,69,140,172,8,14,18,45,265,312,157,221,88,90,38,46,4,6,14,15,304,406,5,28,6,7,2,6,15,24,15,21,11,15,13,27,1015,1,1.85,3.6,4.75
22,121,115,1,11,0,2,6,3,6,5,0,0,3,0,0,2,5,4,0,1,78,49,46,0,0,0,9,7,2,10,0,52,18,3,3,0,1,15,12,3,0,0,283,363,78,106,46,52,159,205,8,16,29,57,254,306,145,204,90,97,48,62,6,8,20,22,313,411,5,21,9,20,2,4,13,19,22,24,18,18,13,24,1015,-1,1.85,3.6,4.75
23,123,105,0,13,1,2,5,6,7,6,1,1,3,0,0,1,5,7,0,1,68,33,50,1,1,0,8,8,0,11,1,44,21,4,6,1,0,7,14,1,0,0,100,265,72,105,28,37,80,123,4,13,22,58,158,207,91,164,66,69,23,32,4,9,12,21,196,311,2,22,11,19,0,2,19,30,12,15,7,8,5,14,1015,0,2.63,3.6,2.75
23,123,105,1,19,1,6,9,4,12,7,0,0,4,0,0,4,12,3,0,2,84,66,49,1,1,0,16,13,3,5,0,46,8,6,2,0,0,14,7,4,0,0,440,523,126,164,70,80,244,279,7,8,24,40,416,483,201,263,128,135,111,125,2,2,22,26,468,568,5,18,11,21,5,7,11,22,34,41,22,28,15,26,1015,0,2.63,3.6,2.75
24,111,113,0,20,1,7,8,5,10,10,0,1,6,0,0,2,15,3,0,6,79,42,55,1,1,0,14,13,1,8,2,40,10,1,0,0,0,16,5,4,0,0,256,326,79,121,45,49,132,156,3,8,19,41,237,285,115,176,79,83,62,67,5,6,21,26,287,383,5,24,6,11,2,9,22,27,19,22,13,13,9,12,1015,0,2.3,3.3,3.5
24,111,113,1,6,1,1,4,1,4,2,0,0,2,0,0,1,2,3,0,2,84,57,45,1,0,1,5,3,2,10,4,39,15,5,1,0,0,5,14,1,0,0,392,467,68,100,79,83,245,284,13,18,19,44,373,423,169,236,141,141,81,89,5,7,18,21,416,504,2,8,5,10,0,0,15,21,12,18,9,11,7,9,1015,0,2.3,3.3,3.5
25,117,109,0,10,1,2,5,3,4,6,0,2,4,0,0,1,7,2,0,0,68,39,47,1,1,0,6,4,2,15,4,66,14,4,1,0,0,16,9,4,0,0,216,318,36,75,36,40,144,203,4,9,17,41,199,277,110,193,60,65,46,60,6,11,11,15,233,356,3,17,12,19,2,3,25,35,14,17,4,4,11,17,1015,0,4.0,3.4,2.1
25,117,109,1,20,1,9,6,5,10,10,1,0,3,0,0,5,8,7,0,2,83,60,52,1,1,0,18,17,1,10,2,57,20,3,3,0,1,9,14,2,0,0,410,494,82,117,69,70,259,307,13,20,20,52,390,442,203,280,142,145,65,69,6,7,19,20,443,542,9,20,10,22,1,4,9,21,23,28,17,18,12,22,1015,0,4.0,3.4,2.1
26,110,125,0,10,3,4,3,3,6,4,0,0,2,1,0,1,9,0,0,2,68,45,49,1,0,1,7,4,3,14,3,60,27,2,1,1,3,8,11,0,0,1,255,373,71,135,43,52,141,186,5,11,25,72,230,301,122,221,79,83,54,69,6,11,22,25,285,425,3,19,7,17,2,5,20,32,11,15,7,9,8,14,1015,-1,2.38,3.4,3.2
26,110,125,1,15,4,7,6,2,9,6,0,0,1,1,0,1,10,4,0,4,73,54,50,2,2,0,11,11,0,10,1,47,10,3,1,0,0,11,8,1,0,0,332,452,103,164,66,72,163,216,4,10,22,59,310,393,152,253,103,107,77,92,8,11,28,33,368,504,2,12,12,26,4,4,17,24,29,37,21,23,22,35,1015,1,2.38,3.4,3.2
27,108,103,0,15,2,6,6,3,8,7,0,1,5,1,0,3,12,0,0,1,76,43,44,2,2,0,12,10,2,10,2,50,15,3,1,0,0,9,11,2,0,0,284,373,93,133,58,60,133,180,9,11,17,52,267,321,135,206,87,91,62,76,6,9,16,20,311,423,6,24,6,10,3,8,13,20,10,15,6,7,5,8,1015,-1,6.5,4.0,1.62
27,108,103,1,15,3,5,7,3,10,5,0,1,1,0,0,0,9,6,0,2,81,56,51,2,2,0,13,13,0,12,1,50,9,3,2,1,0,12,8,1,0,1,404,496,122,169,72,78,210,249,5,10,21,58,383,438,181,256,132,136,91,104,8,11,12,13,423,527,1,11,7,13,1,7,9,15,19,24,14,16,16,26,1015,1,6.5,4.0,1.62
28,106,102,0,10,0,1,5,4,5,5,1,2,1,0,0,2,3,5,0,0,82,45,42,0,0,0,8,7,1,6,3,41,11,4,4,1,0,5,7,0,0,0,334,406,80,117,74,77,180,214,5,7,20,45,314,363,173,237,107,111,54,60,7,8,16,18,361,454,5,19,16,22,2,8,21,31,16,24,9,12,7,13,1015,-1,5.0,4.0,1.73
28,106,102,1,16,2,9,3,4,9,7,1,0,2,0,0,1,10,5,0,2,85,54,57,2,2,0,13,12,1,9,2,55,17,4,1,0,0,7,5,3,0,0,414,487,154,195,48,53,212,239,3,8,11,39,403,448,180,236,120,121,114,130,4,4,22,26,443,542,3,23,10,22,4,7,17,33,17,21,10,11,9,12,1015,1,5.0,4.0,1.73
29,126,114,0,13,0,0,6,7,6,7,0,0,4,0,0,4,7,2,0,1,74,51,53,0,0,0,10,8,2,8,4,58,14,0,0,0,0,10,11,0,0,0,319,429,94,153,44,46,181,230,9,13,28,64,291,365,161,246,113,120,45,63,11,15,25,31,358,507,4,30,11,18,4,5,16,21,15,16,11,11,10,19,1015,0,2.8,3.3,2.75
29,126,114,1,14,0,5,9,0,8,6,0,0,4,0,0,4,5,4,1,0,75,48,46,0,0,0,12,8,4,7,2,64,28,6,11,1,0,11,10,2,0,0,306,408,87,135,42,53,177,220,10,14,29,63,277,345,174,255,91,97,41,56,5,7,14,18,333,453,9,21,5,11,2,2,15,26,24,28,13,13,14,28,1015,0,2.8,3.3,2.75
30,104,107,0,19,0,5,9,5,10,9,1,0,4,0,0,3,9,7,0,2,85,66,55,0,0,0,15,14,1,13,5,80,27,3,1,1,0,2,12,1,0,0,564,667,231,291,85,94,248,282,11,17,11,36,553,631,253,323,148,155,163,189,8,9,14,18,592,721,6,23,14,25,3,7,23,32,22,26,11,12,10,32,1015,0,1.75,4.0,5.0
30,104,107,1,15,0,8,4,3,11,4,1,0,3,0,0,1,8,6,0,1,71,34,44,0,0,0,12,11,1,5,4,60,22,5,5,0,0,13,2,4,0,0,250,351,83,134,34,41,133,176,3,7,20,37,230,314,141,217,69,80,40,54,2,6,16,23,268,392,2,14,9,21,4,8,25,39,27,36,16,16,8,18,1015,0,1.75,4.0,5.0
31,116,104,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,77,25,33,0,0,0,1,1,0,9,2,51,13,7,2,0,0,15,8,6,0,1,206,268,40,60,49,59,117,149,6,10,19,40,187,228,103,155,60,62,43,51,5,6,20,23,229,308,0,12,4,18,0,0,21,26,27,33,15,15,6,9,1015,-1,6.0,4.2,1.62
31,116,104,1,22,0,9,6,7,14,8,0,2,3,0,0,0,15,7,0,3,92,74,66,0,0,0,16,14,2,5,2,52,15,0,1,0,0,8,15,1,0,0,712,777,241,293,53,58,418,426,12,15,17,23,695,754,340,384,212,217,160,176,4,4,24,24,742,821,3,15,5,11,3,9,21,25,8,14,7,9,6,9,1015,1,6.0,4.2,1.62
32,115,117,0,21,2,6,11,4,14,7,0,0,2,1,0,3,17,1,0,2,84,62,56,1,1,0,18,16,2,9,0,59,14,1,2,0,0,10,14,2,0,0,439,523,116,155,56,58,267,310,14,14,25,45,414,478,211,279,129,135,99,109,7,7,26,27,486,591,14,34,15,36,3,5,20,25,21,27,15,17,19,30,1015,0,1.91,3.5,4.75
32,115,117,1,7,2,3,3,1,4,3,0,1,2,0,0,2,4,1,0,0,73,37,43,1,1,0,5,4,1,18,1,52,22,4,1,0,0,14,9,1,0,0,241,329,33,73,68,72,140,184,4,9,20,57,221,272,102,177,77,81,62,71,4,9,11,14,257,360,2,13,5,14,1,4,32,47,30,39,16,19,11,21,1015,0,1.91,3.5,4.75
33,125,123,0,5,1,2,0,3,2,3,0,1,1,0,0,1,4,0,0,0,74,56,47,0,0,0,2,1,1,8,1,54,21,0,0,0,0,9,18,2,0,0,322,435,82,127,55,65,185,243,12,19,21,46,301,389,149,234,112,119,61,82,2,3,30,36,357,493,3,19,6,17,2,4,16,28,24,30,12,12,24,34,1015,0,2.2,3.6,3.4
33,125,123,1,4,1,2,2,0,4,0,0,0,0,1,0,0,1,3,0,1,66,43,52,0,0,0,3,3,0,15,1,55,29,3,4,0,0,19,9,4,0,0,223,336,70,123,49,56,104,157,5,9,20,59,203,277,104,194,80,86,39,56,1,5,22,30,245,388,0,22,12,24,0,4,30,36,12,17,7,10,11,13,1015,0,2.2,3.6,3.4
34,103,121,0,26,1,9,9,9,17,9,0,0,7,0,0,4,15,7,0,0,84,64,55,1,1,0,18,15,3,10,0,59,9,2,4,0,0,9,15,1,0,0,487,582,177,231,67,76,243,275,10,17,31,54,456,528,243,314,129,136,115,132,3,4,12,15,507,623,5,23,13,18,4,7,16,20,13,19,8,10,14,20,1015,-1,1.36,5.0,11.0
34,103,121,1,13,2,5,6,2,9,4,0,0,1,0,0,1,6,6,0,4,74,35,44,1,1,0,10,10,0,12,2,45,9,8,2,0,0,15,9,1,0,0,239,321,62,102,54,57,123,162,5,9,16,53,223,268,122,195,77,79,40,47,1,11,20,24,264,372,4,23,4,11,1,7,17,30,38,45,17,19,9,16,1015,1,1.36,5.0,11.0
