GameId,HomeTeam,AwayTeam,HomeOrAway,All Attempts,Goals,On Target,Off Target,Blocked,Inside Penalty Area,Outside Penalty Area,Woodwork,Free Kick 1,From Set Play,Penalty,Own Goals,Headed,Right Footed,Left Footed,Other Body Parts,Big Chance,Completed % 1,Possession 1,Territory 1,Assist 1,Assist (Open Play) 1,Assist (Set Play) 1,Chances Created 1,Chances Created (Open Play) 1,Chances Created (Set Play) 1,Backpasses 1,Offside Passes,Ball Recoveries,Interceptions,Blocks,Blocked Crosses,Errors leading to shot,Errors leading to goal,Committed,Suffered,Yellow Cards,Second Yellow Cards,Red Cards,All 1 Num,All 1 Den,Attacking Third 1 Num,Attacking Third 1 Den,Defensive Third 1 Num,Defensive Third 1 Den,Middle Third 1 Num,Middle Third 1 Den,Free Kick 2 Num,Free Kick 2 Den,Long 1 Num,Long 1 Den,Short 1 Num,Short 1 Den,Forward 1 Num,Forward 1 Den,Backward 1 Num,Backward 1 Den,Square Num,Square Den,Goalkeeper Distribution Num,Goalkeeper Distribution Den,Throw-ins Num,Throw-ins Den,All (Dashboard) Num,All (Dashboard) Den,Crosses Num,Crosses Den,Take-ons Num,Take-ons Den,Corners Num,Corners Den,Tackles Num,Tackles Den,Clearances Num,Clearances Den,Headed Clearances Num,Headed Clearances Den,Aerial Duels Num,Aerial Duels Den,Season,Result,B365H,B365D,B365A
1,101,105,0,9,0,1,4,4,5,4,0,2,1,0,0,0,5,4,0,0,82,50,55,0,0,0,4,4,0,27,1,64,19,3,0,0,0,12,12,2,0,0,401,487,106,143,108,114,187,230,9,12,28,66,373,421,174,244,158,162,69,81,7,9,19,25,427,529,1,10,2,11,0,1,22,28,24,30,15,16,3,7,1015,1,1.65,4.0,6.0
1,101,105,1,9,0,4,2,3,8,1,0,0,4,0,1,2,5,2,0,1,80,49,44,0,0,0,7,5,2,33,2,61,29,4,0,0,0,12,12,3,0,0,391,487,52,96,159,169,100,220,11,13,23,55,368,432,191,265,129,136,71,86,4,4,18,24,415,529,2,12,6,14,1,2,26,28,13,20,9,12,7,12,1015,-1,1.65,4.0,6.0
2,125,115,0,11,0,2,7,2,8,3,0,0,2,0,0,1,7,3,0,1,85,58,55,0,0,0,9,9,0,5,0,58,16,2,4,0,0,13,13,3,0,0,464,548,134,184,65,67,265,257,12,13,42,59,422,489,221,287,151,156,92,105,4,4,29,30,501,609,4,27,3,13,3,6,14,24,13,16,9,10,7,12,1015,-1,2.0,3.6,4.0
2,125,115,1,7,1,3,2,2,4,3,0,1,1,0,0,1,3,3,0,1,79,41,45,1,0,1,3,2,1,10,0,54,28,2,5,1,0,13,13,4,0,0,310,391,73,102,65,75,172,214,9,12,24,55,286,336,141,204,107,114,62,73,6,7,15,19,332,431,1,15,10,20,2,3,24,27,30,39,18,23,12,20,1015,1,2.0,3.6,4.0
3,106,126,0,10,2,5,3,2,6,4,0,0,2,0,0,3,4,3,0,1,81,66,53,2,2,0,8,7,1,11,4,54,11,3,2,0,0,7,13,1,0,0,451,558,129,197,68,72,254,289,11,14,45,73,406,485,241,331,148,156,62,71,13,13,27,30,497,636,6,32,6,19,3,8,14,25,20,25,16,17,11,17,1015,0,1.7,3.9,5.5
3,106,126,1,11,2,5,3,3,5,6,0,0,0,0,0,1,7,3,0,0,71,33,46,1,1,0,8,8,0,0,1,55,37,2,2,0,1,13,7,2,0,0,200,286,72,118,22,22,106,146,4,11,19,52,181,234,106,177,59,64,35,45,6,12,10,14,214,317,3,13,11,18,1,2,25,31,42,53,19,21,23,32,1015,0,1.7,3.9,5.5
4,123,117,0,19,4,8,7,4,15,4,1,0,4,1,0,4,7,8,0,3,73,44,56,2,1,1,18,14,4,14,0,47,18,2,1,0,0,13,16,2,0,0,250,342,67,112,46,50,137,180,11,17,22,56,228,286,127,203,79,79,44,60,5,11,13,21,276,390,9,23,6,16,5,6,19,24,19,21,12,12,7,17,1015,1,1.95,3.5,4.33
4,123,117,1,11,2,5,4,2,7,4,0,0,3,0,0,4,4,3,0,2,79,55,46,2,2,0,9,7,2,10,1,51,11,4,3,0,1,17,12,4,0,0,347,442,57,91,80,87,210,264,10,13,22,42,325,400,191,269,102,108,54,65,7,10,20,25,380,495,6,21,5,10,3,3,19,25,13,14,3,3,14,23,1015,-1,1.95,3.5,4.33
5,111,121,0,17,1,6,9,3,6,11,0,1,2,0,0,3,7,7,0,1,83,62,50,1,1,0,10,9,1,18,4,40,7,2,4,1,0,14,18,1,0,0,388,470,97,141,67,70,224,259,11,21,19,42,369,428,194,264,119,121,75,85,3,4,21,23,416,518,4,19,3,5,1,1,20,30,23,26,21,23,8,14,1015,-1,2.55,3.3,3.0
5,111,121,1,11,3,7,2,2,8,3,0,0,1,0,0,1,9,1,0,4,74,37,49,3,3,0,10,10,0,8,2,43,12,3,1,0,0,20,14,0,0,0,200,272,81,114,31,36,88,122,7,18,18,52,182,220,99,159,61,65,40,48,2,6,15,19,220,311,5,18,10,18,2,4,14,17,28,34,15,16,2,3,1015,1,2.55,3.3,3.0
